COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,COMMENT
San Diego,2016,Age groups,0–4 years,0–4 years,350,15.7,
San Francisco,2016,Age groups,0–4 years,0–4 years,118,27.1,
San Joaquin,2016,Age groups,0–4 years,0–4 years,86,16.9,
San Luis Obispo,2016,Age groups,0–4 years,0–4 years,13,10,
San Mateo,2016,Age groups,0–4 years,0–4 years,53,12.3,
Santa Barbara,2016,Age groups,0–4 years,0–4 years,30,10.4,
Santa Clara,2016,Age groups,0–4 years,0–4 years,130,10.6,
Santa Cruz,2016,Age groups,0–4 years,0–4 years,15,9.4,
Shasta,2016,Age groups,0–4 years,0–4 years,21,21.3,
Sierra,2016,Age groups,0–4 years,0–4 years,0,0,
Siskiyou,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Age groups,0–4 years,0–4 years,31,11.9,
Sonoma,2016,Age groups,0–4 years,0–4 years,41,16.3,
Stanislaus,2016,Age groups,0–4 years,0–4 years,36,9.4,
Sutter,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2016,Age groups,0–4 years,0–4 years,0,0,
Tulare,2016,Age groups,0–4 years,0–4 years,71,18.7,
Tuolumne,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2016,Age groups,0–4 years,0–4 years,36,7,
Yolo,2016,Age groups,0–4 years,0–4 years,19,15.1,
Yuba,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Age groups,5–17 years,5–17 years,4485,6.7,
Alameda,2016,Age groups,5–17 years,5–17 years,230,9.2,
Alpine,2016,Age groups,5–17 years,5–17 years,0,0,
Amador,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Age groups,5–17 years,5–17 years,18,5.5,
Calaveras,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Age groups,5–17 years,5–17 years,0,0,
Contra Costa,2016,Age groups,5–17 years,5–17 years,135,7.3,
Del Norte,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Age groups,5–17 years,5–17 years,14,5.3,
Fresno,2016,Age groups,5–17 years,5–17 years,251,12.2,
Glenn,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2016,Age groups,5–17 years,5–17 years,57,15.1,
Inyo,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2016,Age groups,5–17 years,5–17 years,98,5.2,
Kings,2016,Age groups,5–17 years,5–17 years,19,5.4,
Lake,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2016,Age groups,5–17 years,5–17 years,1343,8,
Madera,2016,Age groups,5–17 years,5–17 years,41,13.2,
Marin,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2016,Age groups,5–17 years,5–17 years,35,6,
Modoc,2016,Age groups,5–17 years,5–17 years,0,0,
Mono,2016,Age groups,5–17 years,5–17 years,0,0,
Monterey,2016,Age groups,5–17 years,5–17 years,36,4.2,
Napa,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2016,Age groups,5–17 years,5–17 years,259,4.9,
Placer,2016,Age groups,5–17 years,5–17 years,15,2.7,
Plumas,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Age groups,5–17 years,5–17 years,300,6.9,
Sacramento,2016,Age groups,5–17 years,5–17 years,226,8.6,
San Benito,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2016,Age groups,5–17 years,5–17 years,348,8.2,
San Diego,2016,Age groups,5–17 years,5–17 years,309,5.4,
San Francisco,2016,Age groups,5–17 years,5–17 years,85,9.7,
San Joaquin,2016,Age groups,5–17 years,5–17 years,85,5.8,
San Luis Obispo,2016,Age groups,5–17 years,5–17 years,24,6.9,
San Mateo,2016,Age groups,5–17 years,5–17 years,36,2.9,
Santa Barbara,2016,Age groups,5–17 years,5–17 years,46,6.4,
Santa Clara,2016,Age groups,5–17 years,5–17 years,129,3.9,
Santa Cruz,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2016,Age groups,5–17 years,5–17 years,15,5.6,
Sierra,2016,Age groups,5–17 years,5–17 years,0,0,
Siskiyou,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Age groups,5–17 years,5–17 years,23,3.2,
Sonoma,2016,Age groups,5–17 years,5–17 years,40,5.6,
Stanislaus,2016,Age groups,5–17 years,5–17 years,52,4.9,
Sutter,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016,Age groups,5–17 years,5–17 years,60,5.6,
Tuolumne,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2016,Age groups,5–17 years,5–17 years,52,3.6,
Yolo,2016,Age groups,5–17 years,5–17 years,16,4.4,
Yuba,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Age groups,18–64 years,18–64 years,7068,2.8,
Alameda,2016,Age groups,18–64 years,18–64 years,320,2.9,
Alpine,2016,Age groups,18–64 years,18–64 years,0,0,
Amador,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Age groups,18–64 years,18–64 years,35,2.8,
Calaveras,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016,Age groups,18–64 years,18–64 years,225,3.1,
Del Norte,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Age groups,18–64 years,18–64 years,32,3.2,
Fresno,2016,Age groups,18–64 years,18–64 years,199,3.4,
Glenn,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Age groups,18–64 years,18–64 years,30,4,
Imperial,2016,Age groups,18–64 years,18–64 years,21,2,
Inyo,2016,Age groups,18–64 years,18–64 years,0,0,
Kern,2016,Age groups,18–64 years,18–64 years,142,2.7,
Kings,2016,Age groups,18–64 years,18–64 years,27,3.2,
Lake,2016,Age groups,18–64 years,18–64 years,16,4.5,
Lassen,2016,Age groups,18–64 years,18–64 years,20,8.7,
Los Angeles,2016,Age groups,18–64 years,18–64 years,2451,3.7,
Madera,2016,Age groups,18–64 years,18–64 years,15,1.7,
Marin,2016,Age groups,18–64 years,18–64 years,20,1.2,
Mariposa,2016,Age groups,18–64 years,18–64 years,0,0,
Mendocino,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2016,Age groups,18–64 years,18–64 years,57,3.9,
Modoc,2016,Age groups,18–64 years,18–64 years,0,0,
Mono,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2016,Age groups,18–64 years,18–64 years,79,3,
Napa,2016,Age groups,18–64 years,18–64 years,12,1.4,
Nevada,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2016,Age groups,18–64 years,18–64 years,342,1.7,
Placer,2016,Age groups,18–64 years,18–64 years,32,1.4,
Plumas,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Age groups,18–64 years,18–64 years,378,2.6,
Sacramento,2016,Age groups,18–64 years,18–64 years,321,3.4,
San Benito,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2016,Age groups,18–64 years,18–64 years,511,3.8,
San Diego,2016,Age groups,18–64 years,18–64 years,493,2.4,
San Francisco,2016,Age groups,18–64 years,18–64 years,137,2.3,
San Joaquin,2016,Age groups,18–64 years,18–64 years,110,2.5,
San Luis Obispo,2016,Age groups,18–64 years,18–64 years,40,2.5,
San Mateo,2016,Age groups,18–64 years,18–64 years,68,1.4,
Santa Barbara,2016,Age groups,18–64 years,18–64 years,45,1.6,
Santa Clara,2016,Age groups,18–64 years,18–64 years,283,2.2,
Santa Cruz,2016,Age groups,18–64 years,18–64 years,34,2.3,
Shasta,2016,Age groups,18–64 years,18–64 years,31,2.9,
Sierra,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Age groups,18–64 years,18–64 years,82,3,
Sonoma,2016,Age groups,18–64 years,18–64 years,49,1.4,
Stanislaus,2016,Age groups,18–64 years,18–64 years,93,3.1,
Sutter,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2016,Age groups,18–64 years,18–64 years,14,3.8,
Trinity,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016,Age groups,18–64 years,18–64 years,74,2.8,
Tuolumne,2016,Age groups,18–64 years,18–64 years,12,3.6,
Ventura,2016,Age groups,18–64 years,18–64 years,84,1.6,
Yolo,2016,Age groups,18–64 years,18–64 years,25,2,
Yuba,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Age groups,65+ years,65+ years,2504,4.6,
Alameda,2016,Age groups,65+ years,65+ years,138,6.6,
Alpine,2016,Age groups,65+ years,65+ years,0,0,
Amador,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Age groups,65+ years,65+ years,0,0,
Contra Costa,2016,Age groups,65+ years,65+ years,113,6.7,
Del Norte,2016,Age groups,65+ years,65+ years,0,0,
El Dorado,2016,Age groups,65+ years,65+ years,12,3.4,
Fresno,2016,Age groups,65+ years,65+ years,70,6.2,
Glenn,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2016,Age groups,65+ years,65+ years,14,6.4,
Inyo,2016,Age groups,65+ years,65+ years,0,0,
Kern,2016,Age groups,65+ years,65+ years,32,3.5,
Kings,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2016,Age groups,65+ years,65+ years,0,0,
Los Angeles,2016,Age groups,65+ years,65+ years,884,6.6,
Madera,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2016,Age groups,65+ years,65+ years,17,5.9,
Modoc,2016,Age groups,65+ years,65+ years,0,0,
Mono,2016,Age groups,65+ years,65+ years,0,0,
Monterey,2016,Age groups,65+ years,65+ years,22,4.1,
Napa,2016,Age groups,65+ years,65+ years,11,,Rate not available due to statistical instability
Nevada,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2016,Age groups,65+ years,65+ years,188,4.3,
Placer,2016,Age groups,65+ years,65+ years,11,,Rate not available due to statistical instability
Plumas,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Age groups,65+ years,65+ years,97,2.9,
Sacramento,2016,Age groups,65+ years,65+ years,66,3.3,
San Benito,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2016,Age groups,65+ years,65+ years,105,4.5,
San Diego,2016,Age groups,65+ years,65+ years,144,3.2,
San Francisco,2016,Age groups,65+ years,65+ years,65,4.4,
San Joaquin,2016,Age groups,65+ years,65+ years,36,4,
San Luis Obispo,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2016,Age groups,65+ years,65+ years,67,5.2,
Santa Barbara,2016,Age groups,65+ years,65+ years,16,2.3,
Santa Clara,2016,Age groups,65+ years,65+ years,152,5.8,
Santa Cruz,2016,Age groups,65+ years,65+ years,14,3.8,
Shasta,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2016,Age groups,65+ years,65+ years,0,0,
Siskiyou,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Age groups,65+ years,65+ years,30,4.7,
Sonoma,2016,Age groups,65+ years,65+ years,23,2.7,
Stanislaus,2016,Age groups,65+ years,65+ years,22,3.2,
Sutter,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2016,Age groups,65+ years,65+ years,0,0,
Tulare,2016,Age groups,65+ years,65+ years,19,3.6,
Tuolumne,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2016,Age groups,65+ years,65+ years,40,3.3,
Yolo,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Race/ethnicity,White,All ages,5003,3.7,
Alameda,2016,Race/ethnicity,White,All ages,138,2.6,
Alpine,2016,Race/ethnicity,White,All ages,0,0,
Amador,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Race/ethnicity,White,All ages,58,4.4,
Calaveras,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016,Race/ethnicity,White,All ages,175,3.5,
Del Norte,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Race/ethnicity,White,All ages,49,3.8,
Fresno,2016,Race/ethnicity,White,All ages,165,6.5,
Glenn,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Race/ethnicity,White,All ages,34,3.9,
Imperial,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2016,Race/ethnicity,White,All ages,110,3.7,
Kings,2016,Race/ethnicity,White,All ages,26,5.2,
Lake,2016,Race/ethnicity,White,All ages,18,4.9,
Lassen,2016,Race/ethnicity,White,All ages,21,11.1,
Los Angeles,2016,Race/ethnicity,White,All ages,1034,4,
Madera,2016,Race/ethnicity,White,All ages,17,4,
Marin,2016,Race/ethnicity,White,All ages,36,2.5,
Mariposa,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2016,Race/ethnicity,White,All ages,15,3.4,
Merced,2016,Race/ethnicity,White,All ages,33,4.6,
Modoc,2016,Race/ethnicity,White,All ages,0,0,
Mono,2016,Race/ethnicity,White,All ages,0,0,
Monterey,2016,Race/ethnicity,White,All ages,41,3.5,
Napa,2016,Race/ethnicity,White,All ages,19,2.6,
Nevada,2016,Race/ethnicity,White,All ages,23,3.6,
Orange,2016,Race/ethnicity,White,All ages,440,3.9,
Placer,2016,Race/ethnicity,White,All ages,61,2.8,
Plumas,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Race/ethnicity,White,All ages,338,4.4,
Sacramento,2016,Race/ethnicity,White,All ages,249,4.1,
San Benito,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2016,Race/ethnicity,White,All ages,316,5,
San Diego,2016,Race/ethnicity,White,All ages,416,3,
San Francisco,2016,Race/ethnicity,White,All ages,88,2.7,
San Joaquin,2016,Race/ethnicity,White,All ages,79,3.7,
San Luis Obispo,2016,Race/ethnicity,White,All ages,55,4,
San Mateo,2016,Race/ethnicity,White,All ages,71,2.4,
Santa Barbara,2016,Race/ethnicity,White,All ages,50,3.1,
Santa Clara,2016,Race/ethnicity,White,All ages,186,3,
Santa Cruz,2016,Race/ethnicity,White,All ages,49,3.7,
Shasta,2016,Race/ethnicity,White,All ages,51,4.4,
Sierra,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Race/ethnicity,White,All ages,56,3.4,
Sonoma,2016,Race/ethnicity,White,All ages,84,3.3,
Stanislaus,2016,Race/ethnicity,White,All ages,78,4.1,
Sutter,2016,Race/ethnicity,White,All ages,11,,Rate not available due to statistical instability
Tehama,2016,Race/ethnicity,White,All ages,21,5.3,
Trinity,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016,Race/ethnicity,White,All ages,61,4.9,
Tuolumne,2016,Race/ethnicity,White,All ages,19,4.6,
Ventura,2016,Race/ethnicity,White,All ages,99,3,
Yolo,2016,Race/ethnicity,White,All ages,21,2.4,
Yuba,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Race/ethnicity,Black,All ages,3450,16.5,
Alameda,2016,Race/ethnicity,Black,All ages,312,18.5,
Alpine,2016,Race/ethnicity,Black,All ages,0,0,
Amador,2016,Race/ethnicity,Black,All ages,0,0,
Butte,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2016,Race/ethnicity,Black,All ages,0,0,
Colusa,2016,Race/ethnicity,Black,All ages,0,0,
Contra Costa,2016,Race/ethnicity,Black,All ages,161,17.1,
Del Norte,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2016,Race/ethnicity,Black,All ages,134,26.7,
Glenn,2016,Race/ethnicity,Black,All ages,0,0,
Humboldt,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2016,Race/ethnicity,Black,All ages,0,0,
Kern,2016,Race/ethnicity,Black,All ages,78,15.6,
Kings,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2016,Race/ethnicity,Black,All ages,0,0,
Los Angeles,2016,Race/ethnicity,Black,All ages,1331,17.2,
Madera,2016,Race/ethnicity,Black,All ages,12,52.6,
Marin,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2016,Race/ethnicity,Black,All ages,0,0,
Mendocino,2016,Race/ethnicity,Black,All ages,0,0,
Merced,2016,Race/ethnicity,Black,All ages,20,25,
Modoc,2016,Race/ethnicity,Black,All ages,0,0,
Mono,2016,Race/ethnicity,Black,All ages,0,0,
Monterey,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Napa,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2016,Race/ethnicity,Black,All ages,0,0,
Orange,2016,Race/ethnicity,Black,All ages,47,11.5,
Placer,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2016,Race/ethnicity,Black,All ages,0,0,
Riverside,2016,Race/ethnicity,Black,All ages,162,12.7,
Sacramento,2016,Race/ethnicity,Black,All ages,277,19.5,
San Benito,2016,Race/ethnicity,Black,All ages,0,0,
San Bernardino,2016,Race/ethnicity,Black,All ages,268,14.8,
San Diego,2016,Race/ethnicity,Black,All ages,194,12.6,
San Francisco,2016,Race/ethnicity,Black,All ages,97,28.5,
San Joaquin,2016,Race/ethnicity,Black,All ages,76,14.7,
San Luis Obispo,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2016,Race/ethnicity,Black,All ages,24,12.6,
Santa Barbara,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Clara,2016,Race/ethnicity,Black,All ages,47,10.3,
Santa Cruz,2016,Race/ethnicity,Black,All ages,0,0,
Shasta,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2016,Race/ethnicity,Black,All ages,0,0,
Siskiyou,2016,Race/ethnicity,Black,All ages,0,0,
Solano,2016,Race/ethnicity,Black,All ages,53,9.4,
Sonoma,2016,Race/ethnicity,Black,All ages,13,21.2,
Stanislaus,2016,Race/ethnicity,Black,All ages,18,11.9,
Sutter,2016,Race/ethnicity,Black,All ages,0,0,
Tehama,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2016,Race/ethnicity,Black,All ages,0,0,
Tulare,2016,Race/ethnicity,Black,All ages,18,35.1,
Tuolumne,2016,Race/ethnicity,Black,All ages,0,0,
Ventura,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yolo,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Race/ethnicity,Hispanic,All ages,7136,4.6,
Alameda,2016,Race/ethnicity,Hispanic,All ages,200,5,
Alpine,2016,Race/ethnicity,Hispanic,All ages,0,0,
Amador,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016,Race/ethnicity,Hispanic,All ages,178,6.4,
Del Norte,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2016,Race/ethnicity,Hispanic,All ages,402,6.7,
Glenn,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2016,Race/ethnicity,Hispanic,All ages,112,6.6,
Inyo,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2016,Race/ethnicity,Hispanic,All ages,138,3.1,
Kings,2016,Race/ethnicity,Hispanic,All ages,33,3.5,
Lake,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2016,Race/ethnicity,Hispanic,All ages,2775,5.7,
Madera,2016,Race/ethnicity,Hispanic,All ages,66,6,
Marin,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2016,Race/ethnicity,Hispanic,All ages,0,0,
Mendocino,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2016,Race/ethnicity,Hispanic,All ages,76,5,
Modoc,2016,Race/ethnicity,Hispanic,All ages,0,0,
Mono,2016,Race/ethnicity,Hispanic,All ages,0,0,
Monterey,2016,Race/ethnicity,Hispanic,All ages,97,4,
Napa,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2016,Race/ethnicity,Hispanic,All ages,346,3,
Placer,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Race/ethnicity,Hispanic,All ages,409,3.5,
Sacramento,2016,Race/ethnicity,Hispanic,All ages,161,4.5,
San Benito,2016,Race/ethnicity,Hispanic,All ages,14,4,
San Bernardino,2016,Race/ethnicity,Hispanic,All ages,551,4.8,
San Diego,2016,Race/ethnicity,Hispanic,All ages,501,4.1,
San Francisco,2016,Race/ethnicity,Hispanic,All ages,111,8.9,
San Joaquin,2016,Race/ethnicity,Hispanic,All ages,100,3.2,
San Luis Obispo,2016,Race/ethnicity,Hispanic,All ages,20,3.2,
San Mateo,2016,Race/ethnicity,Hispanic,All ages,55,3,
Santa Barbara,2016,Race/ethnicity,Hispanic,All ages,69,3,
Santa Clara,2016,Race/ethnicity,Hispanic,All ages,229,4.4,
Santa Cruz,2016,Race/ethnicity,Hispanic,All ages,16,1.4,
Shasta,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Race/ethnicity,Hispanic,All ages,19,1.5,
Sonoma,2016,Race/ethnicity,Hispanic,All ages,37,2.7,
Stanislaus,2016,Race/ethnicity,Hispanic,All ages,82,3.4,
Sutter,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
